shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_3592,34.790962,-118.833466,466,72582.68541231
p_3592,34.790627,-118.833023,467,72637.68458887
p_3592,34.787846,-118.829384,468,73091.66911523
p_3592,34.787312,-118.828651,469,73181.16785727
p_3592,34.786827,-118.82795,470,73264.90072942
p_3592,34.786343,-118.827187,471,73352.98964148
p_3592,34.785847,-118.826378,472,73445.24033021
p_3592,34.782692,-118.821129,473,74039.64129355
p_3592,34.775997,-118.809998,474,75300.46885263
p_3592,34.775631,-118.809395,475,75368.99063514
p_3592,34.775196,-118.808723,476,75447.17373256
p_3592,34.774815,-118.808174,477,75512.83914457
p_3592,34.774422,-118.80761,478,75580.41255858
p_3592,34.773975,-118.807007,479,75654.61362676
p_3592,34.77356,-118.806473,480,75721.76250984
p_3592,34.773148,-118.805969,481,75786.70500393
p_3592,34.772682,-118.80542,482,75858.80290282
p_3592,34.772221,-118.804909,483,75928.11063746
p_3592,34.771759,-118.804405,484,75997.0701007
p_3592,34.771313,-118.80394,485,76062.33843575
p_3592,34.770885,-118.80349,486,76125.19818957
p_3592,34.770428,-118.803047,487,76190.11998385
p_3592,34.769966,-118.80262,488,76254.5773878
p_3592,34.769497,-118.802208,489,76318.83867778
p_3592,34.769047,-118.801826,490,76379.78964973
p_3592,34.768589,-118.80146,491,76440.65125723
p_3592,34.768101,-118.801094,492,76504.31770587
p_3592,34.767601,-118.800728,493,76569.1200193
p_3592,34.767014,-118.800308,494,76644.74349488
p_3592,34.766457,-118.79995,495,76714.68850083
p_3592,34.765942,-118.799629,496,76778.9353716
p_3592,34.765503,-118.79937,497,76833.1017247
p_3592,34.765499,-118.79937,498,76833.54546985
p_3592,34.765114,-118.799149,499,76880.80563115
p_3592,34.762543,-118.797691,500,77195.71127437
p_3592,34.762028,-118.797394,501,77258.98386712
p_3592,34.761543,-118.797134,502,77317.81824808
p_3592,34.76107,-118.796913,503,77374.05680956
p_3592,34.760563,-118.796707,504,77433.37929867
p_3592,34.760048,-118.796516,505,77493.12766376
p_3592,34.759422,-118.796341,506,77564.39797924
p_3592,34.759018,-118.796242,507,77610.12354068
p_3592,34.758549,-118.796165,508,77662.62803807
p_3592,34.75819,-118.796104,509,77702.84380322
p_3592,34.757904,-118.796066,510,77734.76172585
p_3592,34.757492,-118.796028,511,77780.59964354
p_3592,34.757057,-118.796013,512,77828.87640134
p_3592,34.751991,-118.795891,513,78390.9896163
p_3592,34.74987,-118.795853,514,78626.31064192
p_3592,34.749119,-118.795837,515,78709.63645452
